execution_variant,variant_priority,filter_group,filter_name,entry_feasible_filter,cost_bps,sample_view,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,expectancy,profit_factor,average_return_ex_top5,median_return_ex_top5,low_confidence_flag
immediate_1h_confirmation,priority,path_behavior,negative_1h_confirmation,yes,50,full_sample,89,0.5617977528089888,0.0681707317073173,0.08567663362478625,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.2127659574468086,0.3830845771144278,0.08567663362478625,2.1389425530404744,0.05230430819795737,0.012063492063491998,no
immediate_1h_confirmation,priority,path_behavior,negative_1h_confirmation,yes,100,full_sample,89,0.5617977528089888,0.06317073170731731,0.08067663362478626,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.2127659574468086,0.3830845771144278,0.08067663362478626,2.0421219728020286,0.047304308197957376,0.007063492063491999,no
immediate_1h_confirmation,priority,path_behavior,failed_rebound_24h,yes,0,full_sample,54,0.6296296296296297,0.11985294117647069,0.1240106977080794,-0.1666666666666666,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.1794622158681936,0.3882334650278022,0.1240106977080794,3.008973302870887,0.09293307210977846,0.0731707317073173,no
immediate_1h_confirmation,priority,path_behavior,failed_rebound_24h,yes,20,full_sample,54,0.6296296296296297,0.11785294117647069,0.12201069770807943,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.1794622158681936,0.3882334650278022,0.12201069770807943,2.9531356747736037,0.09093307210977847,0.0711707317073173,no
immediate_1h_confirmation,priority,path_behavior,failed_rebound_24h,yes,20,excluding_top5,49,0.5918367346938775,0.0711707317073173,0.09093307210977847,-0.1686666666666666,0.4265714285714286,-0.16866666666666671,0.4265714285714286,0.2024539877300613,0.3772165502418054,0.09093307210977847,2.3208657707645686,-0.03026966772359519,-0.16866666666666655,no
immediate_1h_confirmation,priority,path_behavior,failed_rebound_24h,yes,50,full_sample,54,0.6296296296296297,0.11485294117647069,0.1190106977080794,-0.1716666666666666,0.4235714285714286,-0.17166666666666672,0.4235714285714288,0.1794622158681936,0.3882334650278022,0.1190106977080794,2.871818740651347,0.08793307210977847,0.0681707317073173,no
immediate_1h_confirmation,priority,path_behavior,failed_rebound_24h,yes,100,full_sample,54,0.6296296296296297,0.10985294117647071,0.11401069770807942,-0.1766666666666666,0.4185714285714286,-0.17666666666666672,0.4185714285714288,0.1794622158681936,0.3882334650278022,0.11401069770807942,2.742427644217817,0.08293307210977846,0.06317073170731731,no
immediate_1h_confirmation,priority,path_behavior,no_sustained_reclaim_above_entry,no,0,full_sample,68,0.8382352941176471,0.2394583274507037,0.2251515882204948,0.08674310971606103,0.4285714285714286,-0.1666666666666667,0.4285714285714288,0.0788243311778875,0.5674769559352517,0.2251515882204948,9.351077090360173,0.1941214430822167,0.2222222222222223,no
immediate_1h_confirmation,priority,path_behavior,no_sustained_reclaim_above_entry,no,20,full_sample,68,0.8382352941176471,0.2374583274507037,0.2231515882204948,0.08474310971606103,0.4265714285714286,-0.16866666666666671,0.4265714285714288,0.0788243311778875,0.5674769559352517,0.2231515882204948,9.178750268950942,0.1921214430822167,0.2202222222222223,no
immediate_1h_confirmation,priority,path_behavior,no_sustained_reclaim_above_entry,no,20,excluding_top5,59,0.8135593220338984,0.2202222222222223,0.1921214430822167,0.05552813254681915,0.4265714285714286,-0.16866666666666671,0.4265714285714286,0.0824524312896406,0.4358974358974359,0.1921214430822167,7.109503310375921,0.0527187490075502,0.09074319674695029,no
