event_id,token_entity_id,token_symbol,anchor_event_type,baseline_price,max_return_1h,max_return_4h,max_return_24h,max_return_3d,max_return_7d,max_return_until_effective_delisting,max_return_price_source,max_return_exchange,volume_zscore,post_pump_drawdown,pump20_flag,pump_and_dump_flag,low_liquidity_pump_flag,fallback_used,manual_review_required
30f9d43efa20dca3,FORTH,FORTH,SPOT_TOKEN_DELISTING_ANNOUNCED,0.7024341286436472,-0.0190735694822888,-0.0653950953678472,-0.1662125340599455,-0.3351498637602179,-0.4237057220708446,-0.0190735694822888,binance,binance,2.322709594353642,-0.6580381471389646,no,no,no,yes,no
12fe2acee58f74d4,FIO,FIO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0052443433356126,-0.0674373795761079,-0.0520231213872832,-0.0751445086705203,-0.2716763005780347,-0.5433526011560694,-0.0269749518304431,binance,binance,3.2985819849582243,-0.8477842003853564,no,no,no,yes,no
64f83596ce3f3b49,FUN,FUN,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0010622131217441,-0.1309523809523809,-0.1597222222222222,-0.1408730158730158,-0.2876984126984127,-0.5773809523809523,77.80952380952381,ccxt_gateio,gateio,3.8454024390496087,-78.4702380952381,yes,yes,no,yes,yes
9a257d0f0bedfaa8,HARD,HARD,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0985839893121228,0.1885964912280699,-0.3081140350877193,-0.4385964912280702,-0.6567982456140351,-0.8453947368421053,0.1885964912280699,binance,binance,1.6956583605056126,-1.0339912280701753,no,no,no,no,no
398b0b8562199239,HIFI,HIFI,SPOT_TOKEN_DELISTING_ANNOUNCED,0.072724419738064,-0.1290322580645161,-0.2218963831867058,-0.3665689149560117,-0.3675464320625612,-0.2893450635386119,0.241446725317693,binance,binance,1.052477831491509,-0.6089931573802543,yes,yes,no,no,no
515cfee81c53a661,HOOK,HOOK,SPOT_TOKEN_DELISTING_ANNOUNCED,0.018861190935109,-0.0172413793103447,-0.0517241379310343,-0.1724137931034483,-0.1494252873563217,-0.3620689655172413,-0.0172413793103447,binance,binance,0.5754128322345206,-0.5344827586206897,no,no,no,yes,no
3c7fc4d113e04b96,IDRT,IDRT,SPOT_TOKEN_DELISTING_ANNOUNCED,,,,,,,,,binance,,,no,no,no,no,no
a9656f0319fdbf16,IRIS,IRIS,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0123474173207284,0.0457643622200583,0.0097370983446933,-0.0496592015579357,0.5628042843232715,-0.053554040895813,0.5628042843232715,binance,binance,1.1537356500450875,-1.302044790652385,yes,yes,no,yes,no
37b0c3ac77ce235b,KEY,KEY,SPOT_TOKEN_DELISTING_ANNOUNCED,0.00309523532335,-0.0051057622173595,-0.025164113785558,-0.0412107950401168,-0.087162654996353,-0.1805251641137856,-0.0051057622173595,binance,binance,1.3219271704624518,-0.5379285193289569,no,no,no,no,no
28b99dfcb851026e,KDA,KDA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0567864613179676,-0.0659163987138263,-0.3488745980707395,-0.2717041800643086,-0.1816720257234726,-0.4790996784565916,-0.0659163987138263,binance,binance,0.355719580082514,-0.837620578778135,no,no,no,yes,no
a19c31e06c92df78,IDEX,IDEX,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0062395243811683,0.0,0.0388349514563106,0.0116504854368932,-0.0912621359223301,-0.2601941747572815,0.0582524271844659,binance,binance,0.9874011202564672,-0.7048543689320388,no,no,no,yes,no
bcffb8b6dc13c97c,LOOM,LOOM,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0492547932052664,-0.0233869283775318,-0.0054291083733556,0.0018793067446229,-0.0146168302359573,-0.0313217790770515,0.0087700981415743,binance,binance,-0.2277237776920212,-0.0400918772186259,no,no,no,no,no
5dfeaf68546f1889,KP3R,KP3R,SPOT_TOKEN_DELISTING_ANNOUNCED,44.936137508218344,-0.147197485594552,-0.141959140911472,0.036668412781561,-0.214510214772132,-0.2503928758512309,0.036668412781561,binance,binance,1.640672406112559,-0.605028810895757,no,no,no,no,no
028ddc85ac40eb5b,LINA,LINA,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0013338044070297,-0.0876320696084524,-0.1963952765692976,-0.4909881914232442,-0.5394655065257924,-0.7905531385954009,-0.0876320696084524,binance,binance,2.904103095244767,-0.7029210689869484,no,no,no,no,no
fc9f80e6cbea62eb,KMD,KMD,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0633854561953511,0.1525974025974024,-0.008116883116883,0.1818181818181818,-0.1688311688311687,-0.7321428571428572,0.1818181818181818,binance,binance,4.099408167675147,-0.9139610389610392,no,no,no,no,no
d92c98003fa4b980,LEVER,LEVER,SPOT_TOKEN_DELISTING_ANNOUNCED,0.000339577080114,0.0186666666666666,-0.0186666666666667,-0.136,-0.168,-0.448,0.0186666666666666,binance,binance,0.7669475422410755,-0.4666666666666667,no,no,no,no,no
f3b8dbb977d66257,LTO,LTO,SPOT_TOKEN_DELISTING_ANNOUNCED,0.0201097080391905,0.0805687203791469,-0.0758293838862559,-0.0284360189573459,-0.2701421800947867,-0.8293838862559242,0.0805687203791469,binance,binance,3.8683602509378607,-0.9099526066350712,no,no,no,no,no
