hold_window,stop_model,be_model,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,stopped_out_rate,breakeven_exit_rate,median_mfe,median_mae,max_mae
1d,stop_15,be_after_5,53,17,5300.0,2666.054495497523,0.5030291500938723,0.4339622641509434,0.6470588235294118,0.0,0.41376876212720387,0.0,105.20636633396285,713.304721030043,-130.43478260869568,4.38015522223423,0.09433962264150944,0.39622641509433965,0.09368770764119594,0.010355029585798814,1.0609756097560972
1d,stop_15,no_be,53,17,5300.0,4679.458909421771,0.8829167753625983,0.7924528301886793,0.7058823529411765,98.34368530020687,0.8612725028374568,22.69288956127058,160.33254156769596,713.304721030043,-130.43478260869568,5.843002734910577,0.11320754716981132,0.0,0.13608870967741926,0.016272189349112454,1.0609756097560972
1d,stop_20,be_after_10,53,17,5300.0,4263.378529967021,0.8044110433900039,0.7169811320754716,0.7647058823529411,73.58738501971085,0.5862540535397468,0.0,138.88888888888906,713.304721030043,-166.66666666666663,6.922559274744936,0.05660377358490566,0.11320754716981132,0.1319999999999999,0.014893617021276562,1.0609756097560972
1d,stop_20,be_after_15,53,17,5300.0,4841.421234911013,0.9134757047001911,0.7924528301886793,0.8235294117647058,98.34368530020687,0.8612725028374568,22.69288956127058,157.73809523809513,713.304721030043,-166.66666666666663,7.725559092683026,0.05660377358490566,0.03773584905660377,0.1417004048582995,0.014893617021276562,1.0609756097560972
1d,stop_20,be_after_20,53,17,5300.0,4841.421234911013,0.9134757047001911,0.7924528301886793,0.8235294117647058,98.34368530020687,0.8612725028374568,22.69288956127058,157.73809523809513,713.304721030043,-166.66666666666663,7.725559092683026,0.05660377358490566,0.03773584905660377,0.1417004048582995,0.014893617021276562,1.0609756097560972
1d,stop_20,be_after_5,53,17,5300.0,2781.99652448303,0.5249050046194397,0.4339622641509434,0.6470588235294118,0.0,0.41376876212720387,0.0,105.20636633396285,713.304721030043,-166.66666666666663,5.1349822958153215,0.05660377358490566,0.41509433962264153,0.09368770764119594,0.010355029585798814,1.0609756097560972
1d,stop_20,no_be,53,17,5300.0,5069.564761928113,0.9565216531939835,0.8301886792452831,0.8235294117647058,104.03120936280885,0.8612725028374568,38.09523809523818,160.33254156769596,713.304721030043,-166.66666666666663,8.042489328272172,0.05660377358490566,0.0,0.1417004048582995,0.016272189349112454,1.0609756097560972
1d,stop_30,be_after_10,53,17,5300.0,4178.001059140634,0.7883020866303084,0.7169811320754716,0.7647058823529411,73.58738501971085,0.5862540535397468,0.0,138.88888888888906,713.304721030043,-230.76923076923072,6.1885709045750374,0.03773584905660377,0.11320754716981132,0.1319999999999999,0.014893617021276562,1.0609756097560972
1d,stop_30,be_after_15,53,17,5300.0,4756.043764084625,0.8973667479404952,0.7924528301886793,0.8235294117647058,98.34368530020687,0.8612725028374568,22.69288956127058,157.73809523809513,713.304721030043,-230.76923076923072,6.90642988019989,0.03773584905660377,0.03773584905660377,0.1417004048582995,0.014893617021276562,1.0609756097560972
1d,stop_30,be_after_20,53,17,5300.0,4756.043764084625,0.8973667479404952,0.7924528301886793,0.8235294117647058,98.34368530020687,0.8612725028374568,22.69288956127058,157.73809523809513,713.304721030043,-230.76923076923072,6.90642988019989,0.03773584905660377,0.03773584905660377,0.1417004048582995,0.014893617021276562,1.0609756097560972
1d,stop_30,be_after_5,53,17,5300.0,2696.619053656643,0.508796047859744,0.4339622641509434,0.6470588235294118,0.0,0.41376876212720387,0.0,105.20636633396285,713.304721030043,-230.76923076923072,4.556734386940656,0.03773584905660377,0.41509433962264153,0.09368770764119594,0.010355029585798814,1.0609756097560972
1d,stop_30,no_be,53,17,5300.0,4984.187291101725,0.9404126964342878,0.8301886792452831,0.8235294117647058,104.03120936280885,0.8612725028374568,38.09523809523818,160.33254156769596,713.304721030043,-230.76923076923072,7.189756487731086,0.03773584905660377,0.0,0.1417004048582995,0.016272189349112454,1.0609756097560972
