hypothesis,sub_strategy,roundtrip_cost_bps,grouping,number_of_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_max_adverse_excursion,median_max_favorable_excursion,median_time_to_tp_hours,median_time_to_sl_hours,expectancy,median_risk_reward,scenario,event_type,confidence_tier
,,0,scenario+roundtrip_cost_bps,50,0.42,-0.1071428571428572,0.10235585180839867,-0.13043478260869557,0.4285714285714286,-0.16666666666666663,1.0,0.284554722917585,0.6166704963235293,38.0,14.0,0.10235585180839867,1.9023127299666327,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,,
,,20,scenario+roundtrip_cost_bps,50,0.42,-0.10914285714285721,0.10035585180839866,-0.13243478260869557,0.4265714285714286,-0.16866666666666663,0.998,0.284554722917585,0.6166704963235293,38.0,14.0,0.10035585180839866,1.9023127299666327,DELISTED_WITHOUT_KNOWN_PRIOR_TAG,,
,,0,scenario+roundtrip_cost_bps,74,0.4189189189189189,-0.15254237288135586,0.0999433526766099,-0.16666666666666663,0.4285714285714286,-0.16666666666666674,0.8181818181818181,0.36042362436386766,0.6498028909329829,207.5,107.5,0.0999433526766099,2.09433165913983,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,,
,,20,scenario+roundtrip_cost_bps,74,0.4189189189189189,-0.15454237288135586,0.09794335267660989,-0.16866666666666663,0.4265714285714286,-0.16866666666666674,0.8161818181818181,0.36042362436386766,0.6498028909329829,207.5,107.5,0.09794335267660989,2.09433165913983,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,,
,,0,scenario+roundtrip_cost_bps,10,0.8,0.10133442265795212,0.16080843633108283,0.05595654807641487,0.23952991452991468,-0.030985915492957705,0.4229074889867841,0.06888579011290541,0.2545846967903641,,,0.16080843633108283,3.1677727145022745,IMMEDIATE_DUMP_AFTER_TAG,,
,,20,scenario+roundtrip_cost_bps,10,0.8,0.09933442265795212,0.15880843633108283,0.05395654807641487,0.23752991452991468,-0.03298591549295771,0.4209074889867841,0.06888579011290541,0.2545846967903641,,,0.15880843633108283,3.1677727145022745,IMMEDIATE_DUMP_AFTER_TAG,,
,,0,scenario+roundtrip_cost_bps,36,0.4444444444444444,-0.1525423728813558,0.02089712817328815,-0.16666666666666663,0.16477272727272713,-0.16666666666666674,0.8181818181818181,0.2490166553187032,0.14600032190568157,741.0,91.0,0.02089712817328815,1.0423416724231358,NO_CLEAR_REACTION,,
,,20,scenario+roundtrip_cost_bps,36,0.4444444444444444,-0.1545423728813558,0.018897128173288147,-0.16866666666666663,0.16277272727272712,-0.16866666666666674,0.8161818181818181,0.2490166553187032,0.14600032190568157,741.0,91.0,0.018897128173288147,1.0423416724231358,NO_CLEAR_REACTION,,
,,0,scenario+roundtrip_cost_bps,19,0.47368421052631576,-0.005376344086021501,0.1412782267832482,-0.15254237288135597,0.3441558441558442,-0.16666666666666674,0.8181818181818179,0.42452674897119347,0.2476708074534162,639.0,427.0,0.1412782267832482,1.622214103032515,SLOW_BLEED_AFTER_TAG,,
,,20,scenario+roundtrip_cost_bps,19,0.47368421052631576,-0.007376344086021501,0.1392782267832482,-0.15454237288135597,0.3421558441558442,-0.16866666666666674,0.8161818181818179,0.42452674897119347,0.2476708074534162,639.0,427.0,0.1392782267832482,1.622214103032515,SLOW_BLEED_AFTER_TAG,,
