hold_window,strategy_id,cluster_date_utc,cluster_pnl_usdt,cluster_roi_on_margin,cumulative_pnl_usdt,drawdown_from_peak_usdt,tokens_count
14d,runner_only_10_no_be,2024-04-03,1435.5481323825225,7.177740661912612,1341.0246783085065,0.0,2
14d,runner_only_10_no_be,2024-07-01,550.936441283008,1.8364548042766933,1891.9611195915145,0.0,3
14d,runner_only_10_no_be,2024-10-03,-181.81818181818198,-0.90909090909091,1710.1429377733325,-181.81818181818198,2
14d,runner_only_10_no_be,2025-01-02,1743.311711362829,8.716558556814146,3453.4546491361616,0.0,2
14d,runner_only_10_no_be,2025-03-04,1404.7675583166351,4.682558527722117,4858.222207452796,0.0,3
14d,runner_only_10_no_be,2025-04-03,3263.679682570808,6.527359365141616,8121.901890023604,0.0,5
14d,runner_only_10_no_be,2025-05-07,-545.454545454546,-0.90909090909091,7576.447344569058,-545.454545454546,6
14d,runner_only_10_no_be,2025-06-05,391.71974522292976,3.9171974522292974,7968.1670897919885,-153.73480023161574,1
14d,runner_only_10_no_be,2025-10-09,-90.90909090909093,-0.9090909090909094,7877.2579988828975,-244.64389114070673,1
14d,runner_only_10_no_be,2025-12-01,-90.90909090909093,-0.9090909090909094,7786.3489079738065,-335.5529820497977,1
14d,runner_only_10_no_be,2026-01-02,-90.90909090909105,-0.9090909090909105,7695.4398170647155,-426.4620729588887,1
14d,runner_only_10_no_be,2026-03-06,329.99887867601655,0.4124985983450207,8025.438695740732,-96.46319428287188,8
14d,runner_only_10_no_be,2026-03-13,1230.4282174384389,4.1014273914614625,9255.866913179172,0.0,3
14d,runner_only_10_no_be,2026-04-14,-142.66946925906453,-0.3566736731476613,9113.197443920108,-142.6694692590645,4
14d,runner_only_10_no_be,2026-04-30,175.87621606192403,0.5862540535397468,9289.073659982032,0.0,3
14d,runner_only_10_no_be,2026-05-22,950.8637278740812,1.9017274557481623,10239.937387856113,0.0,5
1d,aggressive_10_be20_tp20_50,2024-01-04,124.13062863816116,0.41376876212720387,124.13062863816116,0.0,3
1d,aggressive_10_be20_tp20_50,2024-04-03,227.29261057102178,1.136463052855109,351.42323920918295,0.0,2
1d,aggressive_10_be20_tp20_50,2024-07-01,171.6893555766108,0.572297851922036,523.1125947857938,0.0,3
1d,aggressive_10_be20_tp20_50,2024-10-03,14.297275424871913,0.07148637712435957,537.4098702106658,0.0,2
1d,aggressive_10_be20_tp20_50,2025-01-02,658.661031763066,3.2933051588153304,1196.070901973732,0.0,2
1d,aggressive_10_be20_tp20_50,2025-03-04,708.408488952572,2.3613616298419067,1904.479390926304,0.0,3
1d,aggressive_10_be20_tp20_50,2025-04-03,800.6611735330837,1.6013223470661673,2705.140564459388,0.0,5
1d,aggressive_10_be20_tp20_50,2025-05-07,-221.61709312592802,-0.3693618218765467,2483.52347133346,-221.61709312592802,6
1d,aggressive_10_be20_tp20_50,2025-06-05,107.26351351351337,1.0726351351351338,2590.786984846973,-114.3535796124147,1
1d,aggressive_10_be20_tp20_50,2025-10-09,-90.90909090909093,-0.9090909090909094,2499.877893937882,-205.2626705215057,1
1d,aggressive_10_be20_tp20_50,2025-12-01,-90.90909090909093,-0.9090909090909094,2408.968803028791,-296.1717614305967,1
1d,aggressive_10_be20_tp20_50,2026-01-02,-47.05882352941182,-0.4705882352941182,2361.9099794993795,-343.2305849600084,1
1d,aggressive_10_be20_tp20_50,2026-03-06,954.2058514189123,1.1927573142736403,3316.115830918292,0.0,8
1d,aggressive_10_be20_tp20_50,2026-03-13,287.9873949298193,0.9599579830993976,3604.1032258481114,0.0,3
1d,aggressive_10_be20_tp20_50,2026-04-14,366.95187382268676,0.9173796845567169,3971.055099670798,0.0,4
1d,aggressive_10_be20_tp20_50,2026-04-30,175.87621606192403,0.5862540535397468,4146.931315732722,0.0,3
1d,aggressive_10_be20_tp20_50,2026-05-22,554.1829202088173,1.1083658404176346,4701.11423594154,0.0,5
1d,balanced_10_be15_tp10_30,2024-01-04,150.37439063822285,0.5012479687940762,150.37439063822285,0.0,3
1d,balanced_10_be15_tp10_30,2024-04-03,225.77149406638188,1.1288574703319094,376.1458847046047,0.0,2
1d,balanced_10_be15_tp10_30,2024-07-01,171.6893555766108,0.572297851922036,547.8352402812155,0.0,3
1d,balanced_10_be15_tp10_30,2024-10-03,16.068698858016404,0.08034349429008202,563.903939139232,0.0,2
1d,balanced_10_be15_tp10_30,2025-01-02,388.4229365249707,1.9421146826248534,952.3268756642026,0.0,2
1d,balanced_10_be15_tp10_30,2025-03-04,583.408488952572,1.9446949631752402,1535.7353646167746,0.0,3
1d,balanced_10_be15_tp10_30,2025-04-03,659.2230782949887,1.3184461565899774,2194.958442911763,0.0,5
1d,balanced_10_be15_tp10_30,2025-05-07,-263.28375979259465,-0.43880626632099107,1931.6746831191685,-263.28375979259454,6
1d,balanced_10_be15_tp10_30,2025-06-05,108.41779279279271,1.084177927927927,2040.0924759119612,-154.8659669998019,1
1d,balanced_10_be15_tp10_30,2025-10-09,-90.90909090909093,-0.9090909090909094,1949.1833850028702,-245.7750579088929,1
1d,balanced_10_be15_tp10_30,2025-12-01,-90.90909090909093,-0.9090909090909094,1858.2742940937792,-336.6841488179839,1
1d,balanced_10_be15_tp10_30,2026-01-02,-47.05882352941182,-0.4705882352941182,1811.2154705643675,-383.7429723473956,1
1d,balanced_10_be15_tp10_30,2026-03-06,885.6104642415225,1.1070130803019032,2696.82593480589,0.0,8
1d,balanced_10_be15_tp10_30,2026-03-13,301.59117645087355,1.0053039215029118,2998.4171112567637,0.0,3
1d,balanced_10_be15_tp10_30,2026-04-14,319.60119944889084,0.7990029986222271,3318.0183107056546,0.0,4
1d,balanced_10_be15_tp10_30,2026-04-30,179.70644380519533,0.5990214793506511,3497.72475451085,0.0,3
1d,balanced_10_be15_tp10_30,2026-05-22,512.2359110145534,1.0244718220291067,4009.9606655254033,0.0,5
1d,base_10_be20_tp15_30,2024-01-04,124.13062863816116,0.41376876212720387,124.13062863816116,0.0,3
1d,base_10_be20_tp15_30,2024-04-03,225.414697141499,1.127073485707495,349.5453257796602,0.0,2
1d,base_10_be20_tp15_30,2024-07-01,171.6893555766108,0.572297851922036,521.234681356271,0.0,3
1d,base_10_be20_tp15_30,2024-10-03,37.814468652311234,0.18907234326155617,559.0491500085823,0.0,2
1d,base_10_be20_tp15_30,2025-01-02,411.85708615048617,2.0592854307524306,970.9062361590684,0.0,2
1d,base_10_be20_tp15_30,2025-03-04,637.3968646361172,2.124656215453724,1608.3031007951856,0.0,3
1d,base_10_be20_tp15_30,2025-04-03,753.7835938270441,1.5075671876540881,2362.0866946222295,0.0,5
1d,base_10_be20_tp15_30,2025-05-07,-243.11394186542378,-0.40518990310903963,2118.9727527568057,-243.11394186542384,6
1d,base_10_be20_tp15_30,2025-06-05,107.26351351351337,1.0726351351351338,2226.236266270319,-135.85042835191052,1
1d,base_10_be20_tp15_30,2025-10-09,-90.90909090909093,-0.9090909090909094,2135.327175361228,-226.75951926100151,1
1d,base_10_be20_tp15_30,2025-12-01,-90.90909090909093,-0.9090909090909094,2044.418084452137,-317.6686101700925,1
1d,base_10_be20_tp15_30,2026-01-02,-47.05882352941182,-0.4705882352941182,1997.3592609227253,-364.7274336995042,1
1d,base_10_be20_tp15_30,2026-03-06,977.2676387782722,1.2215845484728403,2974.6268997009975,0.0,8
1d,base_10_be20_tp15_30,2026-03-13,287.9873949298193,0.9599579830993976,3262.614294630817,0.0,3
1d,base_10_be20_tp15_30,2026-04-14,344.93145520910423,0.8623286380227606,3607.545749839921,0.0,4
1d,base_10_be20_tp15_30,2026-04-30,201.65809403050284,0.6721936467683428,3809.203843870424,0.0,3
1d,base_10_be20_tp15_30,2026-05-22,557.2648347676679,1.114529669535336,4366.468678638092,0.0,5
1d,defensive_7p5_be10_tp10_20,2024-01-04,159.1223113049101,0.5304077043497004,159.1223113049101,0.0,3
1d,defensive_7p5_be10_tp10_20,2024-04-03,225.26445523150193,1.1263222761575096,384.38676653641204,0.0,2
1d,defensive_7p5_be10_tp10_20,2024-07-01,171.6893555766108,0.572297851922036,556.0761221130228,0.0,3
1d,defensive_7p5_be10_tp10_20,2024-10-03,37.80082238435705,0.18900411192178523,593.8769444973799,0.0,2
1d,defensive_7p5_be10_tp10_20,2025-01-02,303.10547620751043,1.5155273810375522,896.9824207048903,0.0,2
1d,defensive_7p5_be10_tp10_20,2025-03-04,565.5084000272927,1.8850280000909758,1462.490820732183,0.0,3
1d,defensive_7p5_be10_tp10_20,2025-04-03,779.6484394506867,1.5592968789013735,2242.1392601828697,0.0,5
