token_entity_id,token_symbol,anchor_event_id,anchor_event_type,publication_datetime_utc,baseline_vwap_7d,baseline_median_close_7d,baseline_close_1d,post_event_low_7d,post_event_low_14d,post_event_low_30d,post_event_low_60d,post_event_low_90d,drawdown_to_low_7d,drawdown_to_low_14d,drawdown_to_low_30d,drawdown_to_low_60d,drawdown_to_low_90d,days_from_event_to_low_7d,days_from_event_to_low_30d,days_from_event_to_low_90d,low_timestamp_utc,low_price,volume_at_low,quote_volume_at_low,volume_zscore_at_low,wick_ratio_at_low,volatility_before_low,volatility_after_low,capitulation_flag,liquidity_death_flag,low_liquidity_wick_flag,absolute_bottom_confidence_score,manual_review_required,notes
OOKI,OOKI,6e6a33f0d9f83771,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-10-23 07:00:37+00:00,0.0011296961786965,0.0013484999999999,0.000856,0.000522,0.000116,0.000116,0.000116,0.000116,-0.5379288610126096,-0.8973175246694688,-0.8973175246694688,-0.8973175246694688,-0.8973175246694688,5.3745717592592595,13.791238425925926,13.791238425925926,2024-11-06T02:00:00+00:00,0.000116,4377358703.0,553930.900605,1.5126315374525072,0.0937500000000001,0.0362889444510201,,no,no,no,0.85,no,
OXT,OXT,f3b4f1d87991a6c5,MONITORING_TAG_ADDED,2026-03-06 08:29:56+00:00,0.0175417706050039,0.0176,0.0174,0.0152,0.0152,0.0138,0.0092,0.0092,-0.1334968206878705,-0.1334968206878705,-0.2133063240455666,-0.475537549363711,-0.475537549363711,1.8125462962962964,23.562546296296297,47.6875462962963,2026-04-23T01:00:00+00:00,0.0092,1252032.0,12011.1015,-0.4607490436353468,0.1176470588235297,0.0146699173960571,,no,yes,no,0.6,yes,low_quote_volume_at_low
PDA,PDA,0cc30ba0df8ec322,MONITORING_TAG_ADDED,2025-04-03 07:00:36+00:00,0.0168263992471834,0.018055,0.01154,0.00869,0.00869,0.0071,0.0071,0.0071,-0.4835496369519099,-0.4835496369519099,-0.5780440071758988,-0.5780440071758988,-0.5780440071758988,5.749583333333334,28.41625,28.41625,2025-05-01T17:00:00+00:00,0.0071,63310015.4,565314.264266,2.744176073524778,0.8621621621621621,0.039695364741576,0.0222123170151143,yes,no,no,0.85,no,
PERL,PERL,8660726da9a31951,SPOT_TOKEN_DELISTING_ANNOUNCED,2023-11-27 06:00:26+00:00,0.0139480364535363,0.0173849999999999,0.00826,0.0052,0.00453,0.00453,0.00453,0.00453,-0.6271876677894971,-0.675223102901235,-0.675223102901235,-0.675223102901235,-0.675223102901235,2.6663657407407406,9.833032407407408,9.833032407407408,2023-12-07T02:00:00+00:00,0.00453,48112651.6,251707.678912,-0.2897640369599216,0.0598290598290596,0.0971225230874569,,no,no,no,0.85,no,
PERP,PERP,9793cd97d25ee40f,MONITORING_TAG_ADDED,2025-04-03 07:00:36+00:00,0.3073447608334836,0.33525,0.218,0.1773,0.1635,0.1635,0.1635,0.1635,-0.4231234021390739,-0.4680241187238499,-0.4680241187238499,-0.4680241187238499,-0.4680241187238499,6.874583333333334,10.999583333333334,10.999583333333334,2025-04-14T07:00:00+00:00,0.1635,303238.16,50157.490141,-0.8743944166358698,1.0,0.0173513550698595,0.0274214547425363,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
PHB,PHB,166f11821f80f970,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.150711371539647,0.152,0.133,0.12,0.097,0.085,0.085,0.029,-0.2037760736028329,-0.3563856594956233,-0.4360080521353399,-0.4360080521353399,-0.8075792177873513,6.291400462962963,28.45806712962963,74.54140046296297,2026-05-26T22:00:00+00:00,0.029,1518961.5,47091.3403,-0.03940517031171,0.7499999999999998,0.0567240709514739,,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
PNT,PNT,31a48282d85a2000,SPOT_TOKEN_DELISTING_ANNOUNCED,2024-03-20 06:00:07+00:00,0.1816562949389516,0.19925,0.0851,0.0516,0.0215,0.0215,0.0215,0.0215,-0.7159470855808165,-0.8816446189920069,-0.8816446189920069,-0.8816446189920069,-0.8816446189920069,6.916585648148148,13.833252314814814,13.833252314814814,2024-04-03T02:00:00+00:00,0.0215,9229571.0,226639.9191,0.8878598245932161,1.0,0.0793199065156965,,no,no,no,0.85,no,
POLS,POLS,167819d9a56f2560,MONITORING_TAG_ADDED,2024-07-01 07:00:03+00:00,0.5506505233726574,0.55635,0.5463,0.3044,0.2842,0.2842,0.2842,0.2842,-0.4471992905126238,-0.483883174650748,-0.483883174650748,-0.483883174650748,-0.483883174650748,6.999965277777778,7.416631944444444,7.416631944444444,2024-07-08T17:00:00+00:00,0.2842,704577.6,205427.84194,0.2900784381647749,0.5000000000000018,0.0196090851784892,0.0351006955241915,no,no,no,0.85,no,
POND,POND,35a9e6faaa5862b7,MONITORING_TAG_ADDED,2026-04-30 07:00:05+00:00,0.0023616608066646,0.00246,0.00211,0.002,0.00173,0.00135,0.00135,0.00135,-0.1531383362267826,-0.267464660836167,-0.4283683769530783,-0.4283683769530783,-0.4283683769530783,0.0416087962962962,22.541608796296295,22.541608796296295,2026-05-22T20:00:00+00:00,0.00135,26004300.0,35355.63398,1.9277279766198556,1.0,0.0079019805624736,0.0818510025695983,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
PORTAL,PORTAL,a556e77327afcd24,MONITORING_TAG_ADDED,2025-05-07 08:00:33+00:00,0.0807696031436909,0.0826,0.0699,0.0556,0.0535,0.0406,0.0267,0.0267,-0.3116222212818559,-0.3376221014132966,-0.4973356507921466,-0.6694300954716825,-0.6694300954716825,0.6662847222222222,29.499618055555555,46.49961805555556,2025-06-22T20:00:00+00:00,0.0267,6713745.0,182941.8707,1.1213382147917312,0.8333333333333314,0.0109099180832101,0.0129287340686655,no,no,no,0.85,no,
PROS,PROS,14c99625149e363a,MONITORING_TAG_ADDED,2024-10-03 07:00:05+00:00,0.3887911954791165,0.3353,0.343,0.2562,0.2562,0.2562,0.2562,0.2562,-0.3410344601958418,-0.3410344601958418,-0.3410344601958418,-0.3410344601958418,-0.3410344601958418,0.3749421296296296,0.3749421296296296,0.3749421296296296,2024-10-03T16:00:00+00:00,0.2562,1462971.0,387309.4717,0.3208704181188029,0.6500000000000007,0.0246150185119587,0.0519620410390584,no,no,no,0.85,no,
PYTH,PYTH,892c4aa7b773f859,MONITORING_TAG_REMOVED,2025-07-09 01:59:56+00:00,0.1001904245236678,0.0986,0.0983,0.0979,0.0979,0.0979,0.0979,0.0979,-0.0228607128331587,-0.0228607128331587,-0.0228607128331587,-0.0228607128331587,-0.0228607128331587,0.0833796296296296,0.0833796296296296,0.0833796296296296,2025-07-09T04:00:00+00:00,0.0979,358787.0,35331.52366,0.0,1.0,,0.0124643270949454,no,yes,yes,0.35,yes,low_quote_volume_at_low;low_liquidity_wick
QI,QI,31663d580e98be67,MONITORING_TAG_ADDED,2026-03-13 09:00:23+00:00,0.0018795757706997,0.00191,0.00176,0.00161,0.00142,0.00135,0.00135,0.00135,-0.1434237315154201,-0.244510371895588,-0.2817528183514393,-0.2817528183514393,-0.2817528183514393,6.916400462962963,16.54140046296296,16.54140046296296,2026-03-29T22:00:00+00:00,0.00135,3503569.0,4764.31396,3.0548199915559477,0.5000000000000054,0.0060858396339457,0.0059510620599449,no,yes,no,0.6,yes,low_quote_volume_at_low
