stop_loss,take_profit,holding_days,trailing_variant,n_trades,valid_path_rate,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,profit_factor,expectancy,stop_hit_rate,tp_hit_rate,trailing_hit_rate,timeout_exit_rate,median_holding_time_hours,max_loss_after_stop_simulation
0.5,0.2,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.026300430421631504,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.46536223046253,0.026300430421631504,0.0,0.0,0.0,1.0,24.0002775,-0.2566624284806104
0.5,0.3,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.026300430421631504,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.46536223046253,0.026300430421631504,0.0,0.0,0.0,1.0,24.0002775,-0.2566624284806104
0.5,0.5,1,trail20_after_30,30,1.0,0.7,0.039806074120662845,0.026300430421631504,-0.00857954545454547,0.07840777781840787,-0.2566624284806104,0.13605978260869556,2.46536223046253,0.026300430421631504,0.0,0.0,0.0,1.0,24.0002775,-0.2566624284806104
0.15,0.1,7,breakeven_after_10,30,1.0,0.6333333333333333,0.10111111111111094,0.019902773495049157,-0.13949275362318836,0.10111111111111117,-0.14043478260869569,0.10111111111111117,1.4509596829709037,0.019902773495049157,0.26666666666666666,0.6333333333333333,0.03333333333333333,0.06666666666666667,23.0002775,-0.14043478260869569
0.15,0.2,7,breakeven_after_10,30,1.0,0.5,0.010599250936329525,0.05519867160621393,-0.13949275362318836,0.2364743589743588,-0.14043478260869569,0.24,2.2140221916187204,0.05519867160621393,0.26666666666666666,0.26666666666666666,0.16666666666666666,0.3,100.50027750000001,-0.14043478260869569
0.15,0.3,7,breakeven_after_10,30,1.0,0.5,-0.004421487603305843,0.06575339883180802,-0.13949275362318836,0.20104873302046283,-0.14043478260869569,0.4185714285714286,2.446159536694087,0.06575339883180802,0.26666666666666666,0.13333333333333333,0.16666666666666666,0.43333333333333335,107.00027750000001,-0.14043478260869569
0.15,0.5,7,breakeven_after_10,30,1.0,0.5,-0.004421487603305843,0.07342128555647869,-0.13949275362318836,0.20104873302046283,-0.14043478260869569,0.8145614035087718,2.614804621361683,0.07342128555647869,0.26666666666666666,0.0,0.16666666666666666,0.5666666666666667,126.50027750000001,-0.14043478260869569
0.2,0.1,7,breakeven_after_10,30,1.0,0.7,0.10111111111111094,0.026331669626462446,-0.04291223404255314,0.10111111111111117,-0.17666666666666675,0.10111111111111117,1.626671144355784,0.026331669626462446,0.2,0.6666666666666666,0.03333333333333333,0.1,25.0002775,-0.17666666666666675
0.2,0.2,7,breakeven_after_10,30,1.0,0.5333333333333333,0.029738006917190758,0.0579238640339235,-0.04291223404255314,0.2364743589743588,-0.17666666666666675,0.24,2.325944367792716,0.0579238640339235,0.2,0.26666666666666666,0.2,0.3333333333333333,104.00027750000001,-0.17666666666666675
0.2,0.3,7,breakeven_after_10,30,1.0,0.5333333333333333,0.014717268377555388,0.0684785912595176,-0.04291223404255314,0.20104873302046283,-0.17666666666666675,0.4185714285714286,2.56755430441864,0.0684785912595176,0.2,0.13333333333333333,0.2,0.4666666666666667,118.00027750000001,-0.17666666666666675
0.2,0.5,7,breakeven_after_10,30,1.0,0.5333333333333333,0.014717268377555388,0.07614647798418828,-0.04291223404255314,0.20104873302046283,-0.17666666666666675,0.8145614035087718,2.743081116813185,0.07614647798418828,0.2,0.0,0.2,0.6,150.00027749999998,-0.17666666666666675
0.3,0.1,7,breakeven_after_10,30,1.0,0.7666666666666667,0.10111111111111094,0.039856116150031665,0.04266835096948352,0.10111111111111117,-0.24076923076923085,0.10111111111111117,2.147744240475936,0.039856116150031665,0.1,0.7,0.03333333333333333,0.16666666666666666,27.5002775,-0.24076923076923085
0.3,0.2,7,breakeven_after_10,30,1.0,0.5666666666666667,0.05851968493271288,0.06774460685378901,-0.01,0.2364743589743588,-0.24076923076923085,0.24,2.844615003875565,0.06774460685378901,0.1,0.26666666666666666,0.23333333333333334,0.4,108.50027750000001,-0.24076923076923085
