grouping,comparison_group,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,avg_ex_top5,avg_ex_bottom5,profit_factor,median_mae,median_mfe,median_quote_volume_24h,median_return_1h,low_liquidity_rate,abnormal_gap_rate,extreme_wick_gap_rate,clustered_rate,funding_available_rate,oi_available_rate,feasibility_tier,primary_scenario,event_half,liquidity_bucket,funding_available,oi_available,low_liquidity_flag,abnormal_candle_gap,extreme_first_hour_wick_gap,event_clustered_with_another_risk_event
comparison_group+low_liquidity,A_full_confirmed_or_inferred_binance_perp,36,0.5277777777777778,0.0580944348578218,0.07372289486661249,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.030616828153510463,0.09648558227872879,1.8836928574466323,0.19006437680805116,0.3882334650278022,5102766.967187,-0.02159625769746935,0.0,0.1388888888888889,0.05555555555555555,0.05555555555555555,1.0,0.16666666666666666,,,,,,,no,,,
comparison_group+low_liquidity,A_full_confirmed_or_inferred_binance_perp,16,0.375,-0.1766666666666666,0.0026435761613514304,-0.1766666666666666,0.2003538663171691,-0.1766666666666667,0.4185714285714288,,,1.0239418218386547,0.329324607230026,0.40976212127474887,814875.5844950001,-0.01929648631840785,1.0,0.0,0.0,0.125,0.9375,0.0625,,,,,,,yes,,,
comparison_group+abnormal_gap,A_full_confirmed_or_inferred_binance_perp,47,0.5106382978723404,0.0070634920634919,0.0634982270611683,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.03046816180439989,0.09208928583829151,1.7344749807731528,0.2404749246854509,0.3772165502418054,2544287.9809,-0.0193548387096774,0.3404255319148936,0.0,0.02127659574468085,0.0851063829787234,0.9787234042553191,0.14893617021276595,,,,,,,,no,,
comparison_group+abnormal_gap,A_full_confirmed_or_inferred_binance_perp,5,0.2,-0.1766666666666666,-0.05761904761904753,-0.1766666666666666,-0.1766666666666666,-0.1766666666666666,0.4185714285714288,,,0.5923180592991919,1.4896265560165975,0.5090909090909093,7288321.93657,-0.0596330275229358,0.0,1.0,0.2,0.0,1.0,0.0,,,,,,,,yes,,
comparison_group+wick_gap,A_full_confirmed_or_inferred_binance_perp,50,0.48,-0.1766666666666665,0.057120934750606665,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.01695976877051532,0.08309733490808147,1.6217808572272134,0.2685554371002132,0.3882334650278022,2758063.450515,-0.0198099026889807,0.32,0.08,0.0,0.08,0.98,0.14,,,,,,,,,no,
comparison_group+wick_gap,A_full_confirmed_or_inferred_binance_perp,2,0.5,-0.0798626518753302,-0.0798626518753302,-0.1282646592709984,-0.031460644479662,-0.1766666666666666,0.0169413629160062,,,0.09589450707173323,2.1791080486170924,0.4760149475976848,8065369.116983,-0.1702606946700704,0.0,0.5,1.0,0.0,1.0,0.0,,,,,,,,,yes,
comparison_group+clustered,A_full_confirmed_or_inferred_binance_perp,48,0.4791666666666667,-0.1766666666666665,0.04609399812437811,-0.1766666666666666,0.34954670329670334,-0.1766666666666667,0.4185714285714288,0.0027826690026280256,0.06634496765083672,1.5009460928234304,0.2685554371002132,0.3801505636781166,3360985.869225,-0.0207637334002869,0.2916666666666667,0.10416666666666667,0.041666666666666664,0.0,0.9791666666666666,0.14583333333333334,,,,,,,,,,no
comparison_group+clustered,A_full_confirmed_or_inferred_binance_perp,4,0.5,0.12095238095238099,0.12095238095238098,-0.17666666666666664,0.4185714285714286,-0.1766666666666667,0.4185714285714286,,,2.369272237196766,0.28690412900939205,3.7642563198118753,1575632.69381,-0.011382545583289001,0.5,0.0,0.0,1.0,1.0,0.0,,,,,,,,,,yes
comparison_group,B_medium_feasibility_confirmed_shortable,30,0.5666666666666667,0.10985294117647071,0.09750593634590937,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.06183199276529611,0.12796955890286227,2.273662448640326,0.12834790963563594,0.36966728855721387,4623154.553647,-0.0192012288786482,0.0,0.0,0.0,0.06666666666666667,1.0,0.2,,,,,,,,,,
comparison_group+feasibility_tier,B_medium_feasibility_confirmed_shortable,30,0.5666666666666667,0.10985294117647071,0.09750593634590937,-0.1766666666666666,0.4185714285714286,-0.1766666666666667,0.4185714285714288,0.06183199276529611,0.12796955890286227,2.273662448640326,0.12834790963563594,0.36966728855721387,4623154.553647,-0.0192012288786482,0.0,0.0,0.0,0.06666666666666667,1.0,0.2,medium,,,,,,,,,
comparison_group+scenario,B_medium_feasibility_confirmed_shortable,4,0.75,0.4185714285714287,0.26976190476190487,0.26976190476190476,0.4185714285714288,-0.1766666666666667,0.4185714285714288,,,7.107816711590298,0.21104029578949465,1.2132745962607574,5112393.97738,-0.02855107683821815,0.0,0.0,0.0,0.0,1.0,0.0,,DELISTING_ANNOUNCEMENT_PUMP_AND_DUMP,,,,,,,,
