section,group,cost_bps,n_trades,win_rate,median_return,average_return,p25_return,p75_return,worst_trade,best_trade,median_mae,median_mfe,profit_factor,expectancy,average_ex_top5,median_ex_top5,average_ex_bottom5,median_ex_bottom5
scenario,SLOW_BLEED_AFTER_TAG,500,2,0.5,-0.07083333333333322,-0.07083333333333322,-0.14374999999999993,0.0020833333333334925,-0.21666666666666662,0.07500000000000019,0.30272187524095917,0.22515527950310565,0.3461538461538471,-0.07083333333333322,,,,
scenario,TAG_REMOVED_AND_RECOVERED,500,3,0.6666666666666666,0.0592475067996374,0.07371742290146648,-0.07870957993351461,0.21890946768553302,-0.21666666666666662,0.3785714285714286,0.1324960753532182,0.3227027027027027,2.0207027786356897,0.07371742290146648,,,,
scenario,TAG_REMOVED_BUT_NOT_RECOVERED,500,1,0.0,-0.21666666666666673,-0.21666666666666673,-0.21666666666666673,-0.21666666666666673,-0.21666666666666673,-0.21666666666666673,0.3333333333333332,0.5285126396237507,0.0,-0.21666666666666673,,,,
scenario,TAG_TO_DELISTING_TO_COLLAPSE,500,12,0.4166666666666667,-0.2166666666666665,0.031349206349206425,-0.21666666666666662,0.3785714285714286,-0.21666666666666673,0.37857142857142884,0.20745558598413033,0.41783444309927353,1.248037676609106,0.031349206349206425,,,,
scenario,TEMPORARY_PANIC_THEN_RECOVERY,500,1,0.0,-0.2166666666666665,-0.2166666666666665,-0.2166666666666665,-0.2166666666666665,-0.2166666666666665,-0.2166666666666665,0.5398373983739839,0.5147783251231528,0.0,-0.2166666666666665,,,,
stop_loss_sensitivity,stop_15pct,100,30,0.5333333333333333,0.1019766945762893,0.08544244428241729,-0.16,0.39556318681318686,-0.16,0.4185714285714288,0.12834790963563594,0.36966728855721387,2.1443184502109465,0.08544244428241729,0.04842811269474936,-0.16,0.30020458302953246,0.37255494505494513
stop_loss_sensitivity,stop_20pct,100,30,0.5333333333333333,0.1019766945762893,0.06210911094908397,-0.21000000000000002,0.39556318681318686,-0.21000000000000002,0.4185714285714288,0.12834790963563594,0.36966728855721387,1.633766438255959,0.06210911094908397,0.022502186768823425,-0.21000000000000002,0.30020458302953246,0.37255494505494513
stop_loss_sensitivity,stop_30pct,100,30,0.5333333333333333,0.1019766945762893,0.028775777615750644,-0.31,0.39556318681318686,-0.31,0.4185714285714288,0.12834790963563594,0.36966728855721387,1.2191049057036851,0.028775777615750644,-0.014534850268213603,-0.1766666666666665,0.22490912255118523,0.23074074074074089
stop_loss_sensitivity,stop_40pct,100,30,0.5333333333333333,0.1019766945762893,0.030997999837972866,-0.17666666666666672,0.39556318681318686,-0.41000000000000003,0.4185714285714288,0.12834790963563594,0.36966728855721387,1.240087778435246,0.030997999837972866,-0.012065714465744462,-0.1766666666666665,0.1412474997974661,0.17628593628593625
take_profit_sensitivity,tp_10pct,100,30,1.0,0.09000000000000001,0.08999999999999998,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.09000000000000001,0.12834790963563594,0.36966728855721387,,0.08999999999999998,,,,
take_profit_sensitivity,tp_20pct,100,30,0.8666666666666667,0.19,0.13945609945609946,0.19,0.19,-0.17666666666666672,0.19,0.12834790963563594,0.36966728855721387,6.920306108985357,0.13945609945609946,-0.11326340326340327,-0.1766666666666666,0.18809037116729427,0.19
take_profit_sensitivity,tp_30pct,100,30,0.8,0.29,0.1791403349736683,0.15831779331779322,0.29,-0.17666666666666672,0.29,0.12834790963563594,0.36966728855721387,6.070009480386839,0.1791403349736683,-0.012344540980904574,-0.1766666666666666,0.268092085383752,0.29
take_profit_sensitivity,tp_50pct,100,30,0.6666666666666666,0.21905982905982907,0.18560117444114746,-0.17666666666666658,0.49,-0.17666666666666672,0.49,0.12834790963563594,0.36966728855721387,4.1517180565477885,0.18560117444114746,-0.017331375931420902,-0.1766666666666665,0.31733493484398895,0.49
stop_take_profit_proxy,stop_15pct_tp_10pct,100,30,0.5333333333333333,0.09000000000000001,-0.026666666666666658,-0.16,0.09000000000000001,-0.16,0.09000000000000001,0.12834790963563594,0.36966728855721387,0.642857142857143,-0.026666666666666658,-0.15999999999999998,-0.16,0.09000000000000001,0.09000000000000001
stop_take_profit_proxy,stop_15pct_tp_20pct,100,30,0.5333333333333333,0.1651748251748251,0.025011655011655,-0.16,0.19,-0.16,0.19,0.12834790963563594,0.36966728855721387,1.3349775224775227,0.025011655011655,-0.13997668997668997,-0.16,0.18689685314685314,0.19
stop_take_profit_proxy,stop_15pct_tp_30pct,100,30,0.5333333333333333,0.1276748251748252,0.062473668307001635,-0.16,0.29,-0.16,0.29,0.12834790963563594,0.36966728855721387,1.836700914825915,0.062473668307001635,-0.06925210267315529,-0.16,0.2571381280756281,0.29
stop_take_profit_proxy,stop_15pct_tp_50pct,100,30,0.5333333333333333,0.1019766945762893,0.1044900633300363,-0.16,0.4491346153846154,-0.16,0.49,0.12834790963563594,0.36966728855721387,2.3994204910272723,0.1044900633300363,-0.03569536818631411,-0.16,0.3359188687438181,0.40826923076923083
stop_take_profit_proxy,stop_20pct_tp_10pct,100,30,0.5333333333333333,0.09000000000000001,-0.04999999999999998,-0.21000000000000002,0.09000000000000001,-0.21000000000000002,0.09000000000000001,0.12834790963563594,0.36966728855721387,0.489795918367347,-0.04999999999999998,-0.21,-0.21000000000000002,0.09000000000000001,0.09000000000000001
stop_take_profit_proxy,stop_20pct_tp_20pct,100,30,0.5333333333333333,0.1651748251748251,0.0016783216783216612,-0.21000000000000002,0.19,-0.21000000000000002,0.19,0.12834790963563594,0.36966728855721387,1.0171257314114457,0.0016783216783216612,-0.18664335664335666,-0.21000000000000002,0.18689685314685314,0.19
stop_take_profit_proxy,stop_20pct_tp_30pct,100,30,0.5333333333333333,0.1276748251748252,0.0391403349736683,-0.21000000000000002,0.29,-0.21000000000000002,0.29,0.12834790963563594,0.36966728855721387,1.3993911732006972,0.0391403349736683,-0.10609420793631322,-0.21000000000000002,0.2571381280756281,0.29
stop_take_profit_proxy,stop_20pct_tp_50pct,100,30,0.5333333333333333,0.1019766945762893,0.08115672999670297,-0.21000000000000002,0.4491346153846154,-0.21000000000000002,0.49,0.12834790963563594,0.36966728855721387,1.8281298979255407,0.08115672999670297,-0.06751355000449592,-0.21000000000000002,0.3359188687438181,0.40826923076923083
