hold_window,strategy_id,token_trades,clusters,total_margin_usdt,total_pnl_usdt,roi_on_margin,token_win_rate,cluster_win_rate,median_token_pnl,median_cluster_roi,p25_token_pnl,p75_token_pnl,best_token_pnl,worst_token_pnl,profit_factor,tp1_rate,tp2_rate,be_active_rate,stopped_out_rate,median_mfe,median_mae,max_mae
7d,aggressive_10_be20_tp20_50,53,17,5300.0,6947.573818286626,1.3108629845823823,0.6792452830188679,0.7058823529411765,75.0,0.5862540535397468,-90.90909090909093,252.8608127043437,929.3937007874015,-90.90909090909105,5.495488941244286,0.41509433962264153,0.018867924528301886,0.41509433962264153,0.41509433962264153,0.22865412445730815,0.029550827423167947,1.0609756097560972
7d,balanced_10_be15_tp10_30,53,17,5300.0,5733.491790423006,1.0817909038533973,0.7358490566037735,0.6470588235294118,33.33333333333335,0.5990214793506511,-30.303030303030305,214.50980392156862,659.1556055493062,-90.90909090909105,5.730130727098977,0.6792452830188679,0.22641509433962265,0.6226415094339622,0.4716981132075472,0.22865412445730815,0.022222222222222143,1.0609756097560972
7d,base_10_be20_tp15_30,53,17,5300.0,6278.844214690997,1.1846875876775467,0.6792452830188679,0.7647058823529411,68.22287175739852,0.6721936467683428,-90.90909090909093,231.64705882352936,714.6433931052735,-90.90909090909105,5.902479616481067,0.6226415094339622,0.22641509433962265,0.41509433962264153,0.41509433962264153,0.22865412445730815,0.029550827423167947,1.0609756097560972
7d,defensive_7p5_be10_tp10_20,53,17,5300.0,4475.927411094208,0.8445146058668317,0.6981132075471698,0.7647058823529411,58.33333333333335,0.4924884100927192,-69.76744186046501,182.83084097121727,573.8381452318459,-69.76744186046513,5.009684972438563,0.6415094339622641,0.37735849056603776,0.6415094339622641,0.5660377358490566,0.22067039106145248,0.021897810218978186,1.0609756097560972
7d,runner_only_10_no_be,53,17,5300.0,9118.943399424592,1.7205553583819986,0.6415094339622641,0.5882352941176471,69.27326816829571,0.5862540535397468,-90.90909090909093,306.1630218687874,1514.6456692913387,-90.90909090909105,6.279388283877392,0.0,0.0,0.0,0.3584905660377358,0.22865412445730815,0.039237668161435035,1.0609756097560972
90d,aggressive_10_be20_tp20_50,53,17,5300.0,9315.041222344682,1.757554947612204,0.6037735849056604,0.6470588235294118,75.0,0.5862540535397468,-90.90909090909093,98.34368530020687,2931.271576524741,-90.90909090909105,5.879307306942447,0.5094339622641509,0.11320754716981132,0.5094339622641509,0.7169811320754716,0.2529002320185616,0.06553911205074003,1.0609756097560972
90d,balanced_10_be15_tp10_30,53,17,5300.0,7866.862527623076,1.484313684457184,0.7358490566037735,0.5882352941176471,33.33333333333335,0.7098898749362209,-30.303030303030305,204.7619047619048,2661.0334812866454,-90.90909090909105,7.490161585289034,0.6981132075471698,0.32075471698113206,0.660377358490566,0.7358490566037735,0.23870967741935467,0.035335689045936425,1.0609756097560972
90d,base_10_be20_tp15_30,53,17,5300.0,8920.570915907112,1.6831265879070023,0.6037735849056604,0.6470588235294118,58.23529411764707,0.6721936467683428,-90.90909090909093,199.66386554621852,2983.438318940924,-90.90909090909105,7.907440005277962,0.660377358490566,0.33962264150943394,0.5094339622641509,0.7169811320754716,0.2529002320185616,0.06553911205074003,1.0609756097560972
90d,defensive_7p5_be10_tp10_20,53,17,5300.0,6530.736892435299,1.2322145080066602,0.6981132075471698,0.7058823529411765,44.444444444444464,0.6032772879542858,-69.76744186046501,119.44444444444446,2575.7160209691856,-69.76744186046513,6.850451799473293,0.6415094339622641,0.41509433962264153,0.6415094339622641,0.7924528301886793,0.22094361334867663,0.035335689045936425,1.0609756097560972
90d,runner_only_10_no_be,53,17,5300.0,14399.302250834842,2.716849481289593,0.32075471698113206,0.47058823529411764,-90.90909090909093,-0.3566736731476613,-90.90909090909105,60.10488100040345,8187.571921749138,-90.90909090909105,5.399786798866197,0.0,0.0,0.0,0.6792452830188679,0.2529002320185616,0.10948905109489049,1.08274231678487
